trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,9,-87.40156797390088,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-178.0572664626962,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-61.59420359762118,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-193.0479267481465,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,7,-51.269090592766645,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-44.19067000198574,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-62.55065246580452,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-31.97568093584797,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,12,-74.78330055656814,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-25.288513237759688,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-25.833120926968416,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-23.35216730482308,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-20.996772898391033,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-17.082214627562692,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-33.41157948377436,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-20.763025804410464,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,8,14.343325891932254,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-13.640087444370613,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,5.8877259563294295,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,-18.700818335869386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",35,21,16.646825451709514,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,21.6202980008468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-40.12393218063989,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,1,20.515850317755305,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,0.2005750176649479,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,10.827606875708758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,19.32364006317488,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,11.675076292906809,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,16,9.525678242128267,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,-2.8073251283868492,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
