trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-131.28941878075676,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",25,0,-75.90575843155713,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9048374180359595}",20,0,-66.8459933666833,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-119.41628408359236,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,1,-158.8253173718459,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 2}",1
6,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-114.03639454509704,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,0,-60.192818102560814,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-109.13950821889968,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,2,-78.4999853709617,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
10,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-94.59760539872954,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.6065306597126334}",30,0,-122.23513546042955,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-18.090723679304418,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,0,-92.66283506884562,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.522045776761016}",20,0,-71.32176275014339,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,0,-62.75819174854757,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.4723665527410147}",20,0,-5.117380398952177,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,14,11.821231079512291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.42741493194872665}",20,0,-25.53127545795263,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.4065696597405991}",25,5,-2.495158418863455,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.3867410234545012}",25,2,-42.898011042813316,"{0: 19, 1: 1, 2: 0, 3: 3, 4: 0}",1
21,False,"{'a': 0.05, 'e': 0.36787944117144233}",20,2,-50.04737980805155,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.05, 'e': 0.3499377491111553}",20,0,-89.46177700374395,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.33287108369807955}",25,0,-5.949117005121989,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.31663676937905316}",20,0,3.4887750172480296,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.301194211912202}",20,4,-35.91613893823936,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
