trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.41180007881775,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.517652413741,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.76656704478614,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-20.46577731182025,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.57874608241588,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.1251569565843,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,4,-89.44429142673835,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.74123431734984,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.52320617942078,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.04921126689187,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-288.0082406606051,"{0: 14, 1: 2, 2: 15, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.20067138969398,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.40135367035727,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.7663776237443,"{0: 12, 1: 1, 2: 9, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.45238364193193,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,5,-37.50178789212799,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.22785268213057,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.76703794466718,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.451260409419774,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.06523288073453,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-119.14015995964253,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.416722072998475,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.9914391973125,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.1438212995542,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.00395111552113,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.39004195885852,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.2632566138212,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-218.7971247043216,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.03352562709303,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.21080061723742,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
